IMU Report: Laborer

Shoulder Data

Time: 1 seconds   x:26.16  y:70.29  z:30.55
Time: 2 seconds   x:30.14  y:70.02  z:24.64
Time: 3 seconds   x:32.82  y:70.02  z:18.64
Time: 4 seconds   x:39.37  y:66.88  z:1.33
Time: 5 seconds   x:41.38  y:64.94  z:355.02
Time: 6 seconds   x:42.84  y:63.27  z:350.02
Time: 7 seconds   x:46.46  y:58.00  z:335.73
Time: 8 seconds   x:49.06  y:52.65  z:321.86
Time: 9 seconds   x:50.28  y:49.37  z:312.63
Time: 10 seconds   x:50.87  y:46.85  z:304.87
Time: 11 seconds   x:50.88  y:45.71  z:300.06
Time: 12 seconds   x:50.75  y:45.85  z:299.62
Time: 13 seconds   x:50.30  y:47.26  z:301.90
Time: 14 seconds   x:49.99  y:48.43  z:304.42
Time: 15 seconds   x:48.63  y:52.83  z:315.26
Time: 16 seconds   x:45.20  y:59.37  z:333.49
Time: 17 seconds   x:40.27  y:64.52  z:350.52
Time: 18 seconds   x:36.64  y:67.30  z:1.09
Time: 19 seconds   x:33.47  y:68.85  z:8.47
Time: 20 seconds   x:31.26  y:69.54  z:12.63
Time: 21 seconds   x:28.85  y:70.02  z:16.41
Time: 22 seconds   x:25.37  y:70.38  z:20.94
Time: 23 seconds   x:23.59  y:70.53  z:22.96
Time: 24 seconds   x:21.38  y:70.85  z:25.08
Time: 25 seconds   x:19.79  y:71.37  z:25.93
Time: 26 seconds   x:19.78  y:71.38  z:25.93
Time: 27 seconds   x:19.23  y:71.63  z:26.10
Time: 28 seconds   x:18.80  y:71.87  z:26.38
Time: 29 seconds   x:18.65  y:71.96  z:26.80
Time: 30 seconds   x:18.60  y:72.13  z:27.82
Time: 31 seconds   x:18.78  y:72.47  z:29.66
Time: 32 seconds   x:18.99  y:72.68  z:30.56
Time: 33 seconds   x:19.11  y:72.75  z:30.97
Time: 34 seconds   x:19.17  y:72.79  z:31.13
Time: 35 seconds   x:19.65  y:72.91  z:32.08
Time: 36 seconds   x:20.35  y:72.58  z:32.72
Time: 37 seconds   x:21.81  y:71.92  z:32.82
Time: 38 seconds   x:25.91  y:70.39  z:30.72
Time: 39 seconds   x:27.30  y:69.93  z:29.55
Time: 40 seconds   x:29.00  y:69.81  z:26.97
Time: 41 seconds   x:32.35  y:70.09  z:19.72
